"filename", "language", "C++", "Makefile", "Markdown", "HTML", "CSS", "JSON", "ShaderLab", "XML", "JavaScript", "comment", "blank", "total"
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\advanced.html", "HTML", 0, 0, 0, -161, 0, 0, 0, 0, 0, -46, -26, -233
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\basic.html", "HTML", 0, 0, 0, -209, 0, 0, 0, 0, 0, -35, -39, -283
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\build.html", "HTML", 0, 0, 0, -97, 0, 0, 0, 0, 0, -35, -20, -152
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\credits.html", "HTML", 0, 0, 0, -61, 0, 0, 0, 0, 0, -35, -9, -105
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\glew.css", "CSS", 0, 0, 0, 0, -167, 0, 0, 0, 0, -1, -20, -188
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\glew.html", "HTML", 0, 0, 0, -880, 0, 0, 0, 0, 0, -35, -10, -925
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\glxew.html", "HTML", 0, 0, 0, -142, 0, 0, 0, 0, 0, -35, -10, -187
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\index.html", "HTML", 0, 0, 0, -165, 0, 0, 0, 0, 0, -35, -15, -215
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\install.html", "HTML", 0, 0, 0, -172, 0, 0, 0, 0, 0, -35, -22, -229
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\log.html", "HTML", 0, 0, 0, -1172, 0, 0, 0, 0, 0, -35, -32, -1239
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\doc\wglew.html", "HTML", 0, 0, 0, -126, 0, 0, 0, 0, 0, -35, -10, -171
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\include\GL\eglew.h", "C++", -1617, 0, 0, 0, 0, 0, 0, 0, 0, -209, -793, -2619
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\include\GL\glew.h", "C++", -17894, 0, 0, 0, 0, 0, 0, 0, 0, -922, -4871, -23687
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\include\GL\glxew.h", "C++", -1145, 0, 0, 0, 0, 0, 0, 0, 0, -151, -480, -1776
"c:\Drive\Dev\CPP\opengl\Dependencies\GLEW\include\GL\wglew.h", "C++", -952, 0, 0, 0, 0, 0, 0, 0, 0, -115, -381, -1448
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\LICENSE.md", "Markdown", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -8, -24
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\README.md", "Markdown", 0, 0, -46, 0, 0, 0, 0, 0, 0, 0, -24, -70
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\build_8dox.html", "HTML", 0, 0, 0, -68, 0, 0, 0, 0, 0, -4, -3, -75
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\build_guide.html", "HTML", 0, 0, 0, -186, 0, 0, 0, 0, 0, -4, -3, -193
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\compat_8dox.html", "HTML", 0, 0, 0, -68, 0, 0, 0, 0, 0, -4, -3, -75
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\compat_guide.html", "HTML", 0, 0, 0, -139, 0, 0, 0, 0, 0, -4, -3, -146
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\compile_8dox.html", "HTML", 0, 0, 0, -68, 0, 0, 0, 0, 0, -4, -3, -75
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\compile_guide.html", "HTML", 0, 0, 0, -210, 0, 0, 0, 0, 0, -4, -3, -217
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\context_8dox.html", "HTML", 0, 0, 0, -68, 0, 0, 0, 0, 0, -4, -3, -75
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\context_guide.html", "HTML", 0, 0, 0, -245, 0, 0, 0, 0, 0, -4, -3, -252
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\deprecated.html", "HTML", 0, 0, 0, -75, 0, 0, 0, 0, 0, -4, -3, -82
"c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\dir_1dfd43b3952c5bc1ba15d15b12afff7b.html", "HTML", 0, 0, 0, -82, 0, 0, 0, 0, 0, -4, -3, -89
